nombre,descripcion,sku,precio_unitario,stock
Balon de futbol,Balon oficial de futbol talla 5,SKU12345,8000,100
Camiseta deportiva,Camiseta transpirable para deportes,SKU12346,15500,200
Zapatillas running,Zapatillas para correr de alta performance,SKU12347,23000,150
Gorra de beisbol,Gorra ajustable con logo bordado,SKU12348,6000,300
Mochila deportiva,Mochila resistente al agua para actividades al aire libre,SKU12349,12000,80
Guantes de entrenamiento,Guantes acolchonados para entrenamiento de fuerza,SKU12350,7000,120
Pelota de baloncesto,Pelota oficial de baloncesto,SKU12351,9000,90
Cinta de correr,Cinta de correr plegable con varias velocidades,SKU12352,450
Bicicleta estatica,Bicicleta estatica con monitor de ritmo cardiaco,SKU12353,35000,60
Esterilla de yoga,Esterilla antideslizante para yoga y pilates,SKU12354,5000,250
Set de pesas,Set de pesas ajustables para entrenamiento en casa,SKU12355,28000,40
Balon de voleibol,Balon oficial de voleibol,SKU12356,7500,110
Camiseta de futbol,Camiseta oficial de futbol de equipos populares,SKU12357,18000,220
Zapatillas de baloncesto,Zapatillas con buen soporte para baloncesto,SKU12358,25000,130
